"Date","Price","Open","High","Low","Vol.","Change %"
"08-07-2018","36,541.63","35,835.10","36,740.07","35,779.72","52.44M","2.48%"
"01-07-2018","35,657.86","35,545.22","35,799.71","35,106.57","70.46M","0.66%"
"24-06-2018","35,423.48","35,783.75","35,806.97","34,937.15","88.04M","-0.75%"
"17-06-2018","35,689.60","35,698.43","35,741.26","35,249.06","107.56M","0.19%"
"10-06-2018","35,622.14","35,472.59","35,877.41","35,419.68","54.55M","0.50%"
"03-06-2018","35,443.67","35,503.24","35,628.49","34,784.68","68.71M","0.61%"
"27-05-2018","35,227.26","35,074.32","35,438.22","34,735.11","67.19M","0.87%"
"20-05-2018","34,924.87","34,873.16","35,017.93","34,302.89","57.54M","0.22%"
"13-05-2018","34,848.30","35,555.83","35,993.53","34,821.62","53.94M","-1.93%"
"06-05-2018","35,535.79","34,983.59","35,596.15","34,977.74","55.26M","1.78%"
"29-04-2018","34,915.38","35,021.20","35,357.15","34,847.61","32.00M","-0.16%"
"22-04-2018","34,969.70","34,493.69","35,065.37","34,259.27","53.49M","1.61%"
"15-04-2018","34,415.58","33,944.73","34,591.81","33,899.34","44.85M","0.65%"
"08-04-2018","34,192.65","33,653.61","34,313.14","33,578.91","77.63M","1.68%"
"01-04-2018","33,626.97","33,030.87","33,697.51","32,972.56","51.67M","2.00%"
"25-03-2018","32,968.68","32,536.44","33,371.04","32,515.17","45.24M","1.14%"
"18-03-2018","32,596.54","33,268.97","33,354.93","32,483.84","60.68M","-1.75%"
"11-03-2018","33,176.00","33,468.16","34,077.32","33,119.92","67.85M","-0.39%"
"04-03-2018","33,307.14","34,034.28","34,060.13","32,991.14","65.16M","-2.17%"
"25-02-2018","34,046.94","34,225.72","34,610.79","34,015.79","45.75M","-0.28%"
"18-02-2018","34,142.15","34,053.95","34,167.60","33,554.37","91.05M","0.39%"
"11-02-2018","34,010.76","34,203.34","34,535.08","33,957.33","69.87M","0.01%"
"04-02-2018","34,005.76","34,718.85","34,874.17","33,482.81","113.77M","-3.03%"
"28-01-2018","35,066.75","36,106.36","36,443.98","35,006.41","91.93M","-2.73%"
"21-01-2018","36,050.44","35,613.97","36,268.19","35,544.68","83.63M","1.52%"
"14-01-2018","35,511.58","34,687.21","35,542.17","34,687.21","158.89M","2.66%"
"07-01-2018","34,592.39","34,216.33","34,638.42","34,216.33","50.40M","1.28%"
"31-12-2017","34,153.85","34,059.99","34,188.85","33,703.37","54.04M","0.28%"
"24-12-2017","34,056.83","33,980.76","34,137.97","33,752.03","46.75M","0.34%"
